epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.5703,1.60884,1.29858,1.24122,0.7676,0.5365,0.61699,0.39946,1.34732,0.99203,1.12185,0.00332724,0.00332724,0.00332724
2,149.506,1.58457,1.08826,1.16607,0.74317,0.58925,0.64416,0.40408,1.33635,0.94148,1.10193,0.00659463,0.00659463,0.00659463
3,210.489,1.56734,1.05744,1.14228,0.75069,0.53997,0.61999,0.3996,1.30187,0.96059,1.07965,0.00979603,0.00979603,0.00979603
4,270.304,1.5812,1.06517,1.13853,0.70268,0.51663,0.61202,0.38194,1.31737,0.98034,1.08363,0.009703,0.009703,0.009703
5,332.587,1.56327,1.03637,1.13189,0.72869,0.57245,0.6433,0.3885,1.32148,0.90265,1.07553,0.009604,0.009604,0.009604
6,393.054,1.55091,1.01906,1.12432,0.7072,0.61666,0.66739,0.42551,1.27638,0.88767,1.06271,0.009505,0.009505,0.009505
7,451.241,1.54162,0.9947,1.11726,0.65581,0.55863,0.59017,0.37114,1.29581,0.95527,1.07035,0.009406,0.009406,0.009406
8,508.363,1.5262,0.9867,1.10852,0.73333,0.60004,0.6586,0.40201,1.31547,0.90704,1.07608,0.009307,0.009307,0.009307
9,565.937,1.51333,0.97966,1.10803,0.75337,0.60754,0.67392,0.41675,1.25165,0.84976,1.04085,0.009208,0.009208,0.009208
10,623.05,1.49686,0.96436,1.09768,0.75641,0.61278,0.68991,0.43829,1.23854,0.84608,1.04167,0.009109,0.009109,0.009109
11,680.988,1.49668,0.95382,1.09578,0.725,0.62067,0.68863,0.4386,1.23709,0.85045,1.03659,0.00901,0.00901,0.00901
12,746.669,1.48859,0.94963,1.09607,0.67451,0.63779,0.67708,0.43521,1.23586,0.84776,1.03731,0.008911,0.008911,0.008911
13,804.747,1.48162,0.94378,1.09312,0.77887,0.60728,0.69436,0.44189,1.2354,0.85004,1.0425,0.008812,0.008812,0.008812
14,862.213,1.46548,0.92896,1.08899,0.76013,0.6128,0.70204,0.45312,1.23312,0.81666,1.03372,0.008713,0.008713,0.008713
15,918.826,1.4667,0.93097,1.09035,0.74337,0.61844,0.69254,0.44075,1.2221,0.82239,1.03708,0.008614,0.008614,0.008614
16,976.94,1.46588,0.92429,1.08726,0.72471,0.62624,0.70483,0.44731,1.20402,0.81955,1.02642,0.008515,0.008515,0.008515
17,1034.24,1.45439,0.91933,1.08104,0.73766,0.61923,0.69496,0.44615,1.22528,0.81163,1.03383,0.008416,0.008416,0.008416
18,1091.67,1.45385,0.92121,1.08327,0.75526,0.61283,0.70203,0.4446,1.2238,0.81968,1.02872,0.008317,0.008317,0.008317
19,1153.02,1.45498,0.90853,1.08052,0.7435,0.62709,0.69439,0.45144,1.20042,0.79362,1.02758,0.008218,0.008218,0.008218
20,1212.21,1.44827,0.90832,1.07783,0.7472,0.63803,0.7095,0.45266,1.20925,0.81433,1.0284,0.008119,0.008119,0.008119
21,1272.85,1.44669,0.90325,1.07773,0.73653,0.64692,0.71405,0.46131,1.19379,0.78394,1.0247,0.00802,0.00802,0.00802
22,1333.31,1.43506,0.89442,1.07339,0.75112,0.64191,0.71765,0.46906,1.19638,0.79057,1.02259,0.007921,0.007921,0.007921
23,1394.75,1.447,0.89447,1.07844,0.75037,0.62238,0.70212,0.46059,1.20141,0.78515,1.02454,0.007822,0.007822,0.007822
24,1456.66,1.43356,0.8928,1.07528,0.70164,0.67558,0.72557,0.4647,1.19112,0.77955,1.02251,0.007723,0.007723,0.007723
