epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.905,1.26642,0.74183,1.01816,0.77299,0.70469,0.76758,0.51822,1.11577,0.70211,0.99912,0.00332724,0.00332724,0.00332724
2,148.477,1.29581,0.7569,1.02261,0.79598,0.7006,0.76784,0.51637,1.13148,0.71605,0.99665,0.00659463,0.00659463,0.00659463
3,209.909,1.32795,0.79425,1.03473,0.67634,0.66473,0.69543,0.45275,1.19185,0.79495,1.02261,0.00979603,0.00979603,0.00979603
4,273.09,1.38686,0.84733,1.05267,0.69521,0.60917,0.65279,0.4183,1.21351,0.85007,1.02657,0.009703,0.009703,0.009703
5,335.657,1.39869,0.85717,1.05989,0.72086,0.63693,0.70343,0.44588,1.20892,0.80578,1.02224,0.009604,0.009604,0.009604
6,397.101,1.40582,0.8642,1.05969,0.70479,0.59807,0.67131,0.44101,1.18719,0.81715,1.01619,0.009505,0.009505,0.009505
7,458.939,1.40648,0.85917,1.05927,0.72262,0.65184,0.70916,0.44235,1.21236,0.80437,1.01942,0.009406,0.009406,0.009406
8,523.771,1.40774,0.85949,1.05972,0.71064,0.63689,0.68681,0.45234,1.18081,0.80141,1.01447,0.009307,0.009307,0.009307
9,585.237,1.40132,0.86486,1.06108,0.67774,0.6275,0.66655,0.43108,1.19649,0.80686,1.02518,0.009208,0.009208,0.009208
10,646.703,1.38638,0.85297,1.05365,0.68223,0.60512,0.6714,0.42187,1.19622,0.82885,1.02366,0.009109,0.009109,0.009109
11,706.219,1.39385,0.849,1.05396,0.71659,0.6725,0.72947,0.48014,1.18127,0.76857,1.0149,0.00901,0.00901,0.00901
12,769.595,1.39275,0.85508,1.05659,0.72558,0.6381,0.69898,0.45373,1.20381,0.79212,1.01827,0.008911,0.008911,0.008911
