epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.773,1.56213,1.98053,1.44222,0.65034,0.18364,0.20947,0.1104,1.5756,2.07889,1.51785,0.0672458,0.000498795,0.000498795
2,250.845,1.52826,1.51951,1.42658,0.86983,0.19734,0.26048,0.1459,1.47255,1.74134,1.47778,0.0344075,0.000993851,0.000993851
3,344.21,1.49127,1.42205,1.40722,0.54079,0.25577,0.28656,0.15603,1.45584,1.51135,1.4522,0.00156428,0.00148396,0.00148396
4,435.523,1.46881,1.34668,1.38725,0.75942,0.22533,0.28989,0.15811,1.48009,1.57681,1.47938,0.00147773,0.00147773,0.00147773
5,528.212,1.43604,1.29417,1.36168,0.4515,0.36471,0.30108,0.17306,1.42902,1.60667,1.46188,0.0014703,0.0014703,0.0014703
6,620.694,1.41107,1.24292,1.35372,0.28715,0.39242,0.33214,0.18858,1.39828,1.40293,1.41116,0.00146287,0.00146287,0.00146287
7,716.361,1.37833,1.20379,1.32822,0.2885,0.40775,0.3649,0.21029,1.35604,1.34005,1.37694,0.00145545,0.00145545,0.00145545
8,816.334,1.36389,1.17338,1.31834,0.44883,0.435,0.40155,0.2356,1.32869,1.25382,1.35667,0.00144802,0.00144802,0.00144802
9,912.498,1.34624,1.14974,1.31257,0.41139,0.46313,0.43023,0.25252,1.30054,1.24456,1.32491,0.0014406,0.0014406,0.0014406
10,1008.53,1.33505,1.11848,1.30097,0.34785,0.47382,0.4223,0.24737,1.35849,1.25677,1.37836,0.00143317,0.00143317,0.00143317
11,1105.32,1.32397,1.10132,1.28809,0.56043,0.44244,0.43837,0.26406,1.27467,1.19395,1.31202,0.00142575,0.00142575,0.00142575
12,1202.95,1.31532,1.0842,1.28371,0.45966,0.46772,0.42086,0.25127,1.30527,1.1892,1.33331,0.00141833,0.00141833,0.00141833
13,1299.67,1.30089,1.04692,1.27555,0.56662,0.46003,0.48496,0.28681,1.28723,1.13974,1.32407,0.0014109,0.0014109,0.0014109
14,1396.19,1.28303,1.03858,1.26348,0.43372,0.52367,0.48682,0.29495,1.26653,1.14994,1.32574,0.00140348,0.00140348,0.00140348
15,1492.22,1.27954,1.02871,1.26144,0.47477,0.5509,0.50703,0.30687,1.26789,1.11279,1.30663,0.00139605,0.00139605,0.00139605
16,1588.52,1.27413,1.02671,1.25536,0.44575,0.53172,0.51689,0.30518,1.27055,1.04822,1.29,0.00138863,0.00138863,0.00138863
17,1681.1,1.26396,0.99729,1.24877,0.65367,0.48042,0.53148,0.32286,1.21722,1.04125,1.27096,0.0013812,0.0013812,0.0013812
18,1774.39,1.25284,0.98008,1.23957,0.4517,0.60056,0.55956,0.34321,1.23792,1.05373,1.29501,0.00137378,0.00137378,0.00137378
19,1867.96,1.25944,0.98131,1.24258,0.57978,0.51799,0.54462,0.33435,1.2344,1.02087,1.26956,0.00136635,0.00136635,0.00136635
20,1961.46,1.24427,0.97124,1.23483,0.4523,0.51816,0.49533,0.29836,1.28423,1.17011,1.33603,0.00135892,0.00135892,0.00135892
21,2055.4,1.24337,0.96893,1.23369,0.61068,0.50487,0.56193,0.35577,1.23039,1.03109,1.27175,0.0013515,0.0013515,0.0013515
22,2148.43,1.2289,0.9503,1.22687,0.6268,0.5464,0.58694,0.36346,1.21748,1.02775,1.27374,0.00134408,0.00134408,0.00134408
23,2241.52,1.23633,0.94438,1.23095,0.56043,0.58236,0.58124,0.36378,1.20915,0.99779,1.25988,0.00133665,0.00133665,0.00133665
24,2335,1.22859,0.93976,1.22753,0.60936,0.60134,0.61527,0.38932,1.19407,0.97215,1.24378,0.00132923,0.00132923,0.00132923
25,2428.03,1.21856,0.92628,1.2211,0.68926,0.58444,0.64393,0.40817,1.21029,0.96645,1.26568,0.0013218,0.0013218,0.0013218
26,2520.51,1.21367,0.91442,1.21214,0.59396,0.61363,0.63397,0.40026,1.18933,0.95052,1.24837,0.00131438,0.00131438,0.00131438
27,2613.61,1.21619,0.91386,1.21499,0.69931,0.58392,0.64474,0.41644,1.20134,0.93331,1.24782,0.00130695,0.00130695,0.00130695
28,2706.92,1.1979,0.89059,1.20364,0.57615,0.64059,0.64363,0.41758,1.1845,0.94763,1.24989,0.00129952,0.00129952,0.00129952
29,2799.77,1.20092,0.89509,1.20529,0.62342,0.64103,0.66379,0.42599,1.19141,0.95428,1.24844,0.0012921,0.0012921,0.0012921
30,2893.4,1.19522,0.88435,1.19882,0.69956,0.60881,0.66959,0.42923,1.20779,0.94053,1.2537,0.00128467,0.00128467,0.00128467
31,2986.49,1.1817,0.87043,1.18972,0.62139,0.65732,0.68187,0.44848,1.17968,0.89755,1.22576,0.00127725,0.00127725,0.00127725
32,3079.73,1.18314,0.86071,1.18814,0.6833,0.63067,0.68319,0.42821,1.17549,0.92486,1.23254,0.00126983,0.00126983,0.00126983
33,3172.58,1.18189,0.85072,1.18967,0.71423,0.64574,0.69047,0.44635,1.16678,0.86622,1.22392,0.0012624,0.0012624,0.0012624
34,3266.52,1.17949,0.85923,1.18876,0.74188,0.63196,0.71847,0.46163,1.16604,0.88883,1.22332,0.00125497,0.00125497,0.00125497
35,3359.84,1.17141,0.85245,1.18398,0.68508,0.67064,0.69994,0.44224,1.17264,0.8988,1.23001,0.00124755,0.00124755,0.00124755
36,3452.78,1.1805,0.85299,1.18824,0.73089,0.63715,0.70292,0.46055,1.14884,0.87019,1.21353,0.00124012,0.00124012,0.00124012
37,3545.68,1.17451,0.85087,1.1876,0.64327,0.66141,0.70532,0.45892,1.15408,0.8573,1.21193,0.0012327,0.0012327,0.0012327
38,3638.78,1.16827,0.83682,1.17752,0.72257,0.64936,0.72263,0.48045,1.16184,0.84957,1.21824,0.00122528,0.00122528,0.00122528
39,3731.83,1.16356,0.83128,1.18123,0.73076,0.67558,0.73502,0.4865,1.14872,0.84723,1.20692,0.00121785,0.00121785,0.00121785
40,3825.18,1.15376,0.82473,1.17573,0.68828,0.69577,0.73388,0.48419,1.13828,0.82532,1.20254,0.00121042,0.00121042,0.00121042
41,3919.23,1.15624,0.81111,1.17249,0.66703,0.68743,0.71977,0.46687,1.15543,0.83389,1.21246,0.001203,0.001203,0.001203
42,4012.72,1.15026,0.81347,1.1684,0.75273,0.63797,0.7203,0.47218,1.1439,0.8542,1.20636,0.00119558,0.00119558,0.00119558
43,4106.31,1.15452,0.81567,1.16801,0.73542,0.68869,0.74295,0.4785,1.15367,0.84713,1.20668,0.00118815,0.00118815,0.00118815
44,4199.73,1.14755,0.80765,1.16046,0.72453,0.64712,0.72225,0.4751,1.13937,0.83415,1.20231,0.00118073,0.00118073,0.00118073
45,4293.37,1.1404,0.79836,1.16122,0.71832,0.66321,0.73387,0.48742,1.13735,0.84303,1.19776,0.0011733,0.0011733,0.0011733
46,4386.97,1.14282,0.79413,1.16088,0.72993,0.70488,0.7479,0.49324,1.14276,0.81833,1.20195,0.00116588,0.00116588,0.00116588
47,4480.25,1.12922,0.78379,1.15059,0.74655,0.69165,0.74549,0.50847,1.14292,0.81666,1.20174,0.00115845,0.00115845,0.00115845
48,4574.21,1.13367,0.78597,1.15469,0.72353,0.67243,0.74998,0.49415,1.14157,0.79721,1.20149,0.00115102,0.00115102,0.00115102
49,4666.8,1.13053,0.78779,1.155,0.76936,0.68211,0.76317,0.50633,1.13876,0.79817,1.20079,0.0011436,0.0011436,0.0011436
50,4759.88,1.12466,0.77496,1.14932,0.74701,0.72216,0.7717,0.51102,1.1322,0.80478,1.19076,0.00113617,0.00113617,0.00113617
51,4852.45,1.12765,0.7759,1.15116,0.74805,0.7076,0.76944,0.51618,1.12772,0.80165,1.19532,0.00112875,0.00112875,0.00112875
52,4945.64,1.11391,0.76344,1.14304,0.74616,0.70361,0.7711,0.51249,1.13034,0.79652,1.19499,0.00112133,0.00112133,0.00112133
53,5038.95,1.1199,0.77049,1.14899,0.7606,0.68945,0.76623,0.50418,1.12747,0.79457,1.19335,0.0011139,0.0011139,0.0011139
54,5133.25,1.11526,0.76322,1.14866,0.78029,0.68216,0.77279,0.52008,1.11534,0.78276,1.18998,0.00110647,0.00110647,0.00110647
55,5226.63,1.09979,0.75095,1.13648,0.72383,0.72923,0.77786,0.51305,1.12666,0.78273,1.19102,0.00109905,0.00109905,0.00109905
56,5319.43,1.09843,0.75307,1.13618,0.74495,0.73236,0.78205,0.52765,1.11679,0.76914,1.18788,0.00109162,0.00109162,0.00109162
57,5412.28,1.10031,0.74794,1.13613,0.78651,0.71845,0.79277,0.53766,1.10812,0.76271,1.17816,0.0010842,0.0010842,0.0010842
58,5505.84,1.10581,0.75625,1.14609,0.79365,0.699,0.78906,0.52314,1.12008,0.76716,1.18987,0.00107678,0.00107678,0.00107678
59,5598.88,1.0891,0.74527,1.13253,0.83295,0.70009,0.79773,0.54393,1.09275,0.75393,1.16422,0.00106935,0.00106935,0.00106935
60,5691.92,1.08916,0.73949,1.13059,0.80942,0.71794,0.79917,0.53779,1.10731,0.75033,1.17719,0.00106193,0.00106193,0.00106193
61,5785.6,1.10313,0.73981,1.13049,0.77745,0.73813,0.79994,0.5451,1.10031,0.74935,1.17106,0.0010545,0.0010545,0.0010545
62,5878.89,1.09571,0.73727,1.12772,0.77909,0.74607,0.79351,0.53575,1.11174,0.7604,1.17518,0.00104708,0.00104708,0.00104708
63,5972.29,1.08714,0.73056,1.12591,0.77911,0.75296,0.79523,0.53438,1.11448,0.7645,1.17869,0.00103965,0.00103965,0.00103965
64,6065.21,1.09953,0.73735,1.13265,0.78128,0.76149,0.80194,0.54525,1.10642,0.75058,1.17432,0.00103223,0.00103223,0.00103223
65,6158.68,1.07849,0.7152,1.11896,0.78614,0.75205,0.80825,0.55271,1.09582,0.73592,1.16549,0.0010248,0.0010248,0.0010248
66,6252.15,1.10113,0.72865,1.13044,0.79193,0.75183,0.80395,0.5449,1.09948,0.74144,1.16616,0.00101738,0.00101738,0.00101738
67,6345.61,1.07219,0.71289,1.11883,0.80493,0.73241,0.80461,0.55579,1.10041,0.72527,1.16805,0.00100995,0.00100995,0.00100995
68,6439.41,1.08549,0.71393,1.12361,0.83186,0.71296,0.81066,0.55815,1.09568,0.72627,1.16259,0.00100252,0.00100252,0.00100252
